age,experience,education_level,job_level,department,job_role,performance_rating,projects_completed,certifications,weekly_hours,overtime_hours,team_size,leadership_score,skill_match_score,years_in_role,promotions,employment_type,location_type,company_size,job_satisfaction,salary
59,33,High School,Mid,Sales,Manager,4,40,2,36,3,8,5.258553864678608,2.9175161565970553,6,1,Contract,Rural,Large,5,141329.0848173683
49,26,Bachelor,Senior,Finance,Developer,1,26,2,52,3,6,6.673579581473442,6.5448308903499415,5,3,Full-time,Rural,Small,1,144421.49836979283
35,16,Bachelor,Junior,Marketing,Analyst,4,16,3,58,14,2,9.170854092417166,4.377217677346453,2,1,Contract,Rural,Medium,5,82047.37167677499
28,23,Master,Senior,Sales,Analyst,2,28,8,36,7,19,4.7717897830386935,9.85774052546707,3,1,Full-time,Suburban,Medium,1,114766.21060582038
41,24,Bachelor,Lead,Marketing,Analyst,2,1,4,43,3,14,8.049852011974252,1.2730532213648642,9,4,Contract,Suburban,Medium,2,118098.3334888422
59,6,High School,Senior,Sales,Developer,5,36,7,31,15,1,3.415058121471917,9.987383511428888,13,2,Part-time,Suburban,Small,1,93785.35043676017
39,5,Master,Junior,Finance,Consultant,4,10,5,39,3,10,7.2817461183125225,6.612650495751844,4,4,Part-time,Urban,Large,1,68875.30190252823
43,23,PhD,Lead,IT,Analyst,5,43,2,48,15,16,1.0142147897012068,6.028362951364869,8,3,Part-time,Suburban,Small,2,147462.7441042087
31,32,Master,Senior,Finance,Analyst,3,17,7,55,11,4,8.843564921415712,1.5356119830757693,13,1,Contract,Suburban,Small,5,127895.49489009337
31,28,High School,Senior,IT,Developer,2,23,8,38,15,11,1.2734162195901626,3.459959889993016,5,2,Contract,Rural,Medium,5,118611.25845758696
44,21,Master,Lead,IT,Manager,5,7,7,45,18,16,7.414783792863258,9.32196419462436,12,1,Part-time,Urban,Small,4,120225.18921793585
56,25,Master,Mid,Marketing,Manager,3,44,3,48,7,1,1.416323703351555,4.188214028703198,3,1,Part-time,Urban,Large,5,119932.53422166535
44,27,High School,Lead,Finance,Consultant,5,7,5,47,5,16,3.396211294546031,6.954878804205259,10,3,Full-time,Rural,Medium,5,133726.3125209654
23,20,Master,Mid,Sales,Consultant,4,44,0,38,9,19,5.474821632008978,9.995467153768494,10,1,Full-time,Urban,Large,1,131686.326099735
42,6,High School,Junior,Finance,Analyst,4,15,3,45,4,9,4.779448168134143,3.3676274245018707,6,0,Part-time,Suburban,Large,4,53102.823219631806
22,16,High School,Junior,Marketing,Developer,4,34,7,42,17,9,2.7265250314090954,6.1847279111304445,1,2,Part-time,Urban,Large,2,104095.5982650905
44,19,PhD,Lead,IT,Analyst,4,46,0,39,9,9,4.004334205383136,7.267940134319918,3,2,Contract,Rural,Small,2,137032.08998968487
50,19,Bachelor,Lead,Marketing,Consultant,1,45,2,54,9,17,7.549357330548704,2.4816452190887364,4,0,Part-time,Urban,Small,3,101478.69158764828
58,21,Bachelor,Junior,HR,Developer,3,4,0,49,6,12,7.023313833216834,2.338053073265639,3,3,Full-time,Rural,Small,4,112811.22062804001
22,27,Master,Mid,HR,Developer,3,14,8,43,17,13,1.6463312538752413,5.10677120492356,3,1,Full-time,Suburban,Small,1,118546.81642759977
41,6,Master,Junior,Sales,Consultant,4,14,1,41,0,8,7.725842430155977,4.472312695833605,10,1,Full-time,Suburban,Medium,3,71294.77147614595
53,0,PhD,Lead,Marketing,Manager,1,16,8,54,6,16,1.477412930773255,7.427938931715825,12,2,Full-time,Rural,Small,3,48303.78554496229
32,31,PhD,Junior,Sales,Manager,4,7,3,48,0,18,5.88633750189806,1.6255789430372762,8,3,Full-time,Suburban,Medium,2,124933.90245940597
42,12,PhD,Lead,Sales,Developer,1,32,1,36,14,1,3.3405647323797156,9.749499613666213,13,3,Full-time,Suburban,Large,5,104328.87776861573
